class,hotelname,PARK,location,SEASON,daterange,singlerate,doubleRate,tripleRate,,
3,Kisima Ngeda Camp,Lake Eyasi,Lake Eyasi,High ,"1 Jan-15 Mar, ",386,534,801,,
3,Kisima Ngeda Camp,Lake Eyasi,Lake Eyasi,Low,16 Mar - 31 May ,292,406,609,,
4,Kisima Ngeda Camp,Lake Eyasi,Lake Eyasi,Peak,1 Jun-31 Dec ,386,534,801,,
4,Kisima Ngeda Camp,Lake Eyasi,Lake Eyasi,High ,"1 Jan-15 Mar, ",386,534,801,,
4,Kisima Ngeda Camp,Lake Eyasi,Lake Eyasi,Low,16 Mar - 31 May ,292,406,609,,
5,Ziwani Lodge,Lake Eyasi,Lake Eyasi,Peak," 1 Jun - 31 Oct,15 Dec - 31 Dec",520.5,694,1041,,
5,Ziwani Lodge,Lake Eyasi,Lake Eyasi,High,"1 Jan- 28 Feb,",520.5,694,1041,,
5,Ziwani Lodge,Lake Eyasi,Lake Eyasi,Shoulder              , 1 Nov - 14 Dec,367.5,490,735,,
5,Ziwani Lodge,Lake Eyasi,Lake Eyasi,Low,"1 Mar - 31 May,",367.5,490,735,,
6,Ziwani Lodge,Lake Eyasi,Lake Eyasi,Peak," 1 Jun - 31 Oct,15 Dec - 31 Dec",520.5,694,1041,,
6,Ziwani Lodge,Lake Eyasi,Lake Eyasi,High,"1 Jan- 28 Feb,",520.5,694,1041,,
6,Ziwani Lodge,Lake Eyasi,Lake Eyasi,Shoulder              , 1 Nov - 14 Dec,367.5,490,735,,
6,Ziwani Lodge,Lake Eyasi,Lake Eyasi,Low,"1 Mar - 31 May,",367.5,490,735,,
1,Chanya Lodge (HB),Moshi,Moshi,High,"Jan - Mar , Jun - Dec",95,134,192,,
2,Chanya Lodge (HB),Moshi,Moshi,High,"Jan - Mar,  Jun - Dec",95,134,192,,
3,Chanya Lodge (HB),Moshi,Moshi,High,"Jan - Mar,  Jun - Dec",95,134,192,,
4,Chanya Lodge (HB),Moshi,Moshi,High,"Jan - Mar, Jun - Dec",95,134,192,,
1,Chanya Lodge (HB),Moshi,Moshi,Low,Apr - May,80,116,165,,
2,Chanya Lodge (HB),Moshi,Moshi,Low,Apr - May,80,116,165,,
3,Chanya Lodge (HB),Moshi,Moshi,Low,Apr - May,80,116,165,,
4,Chanya Lodge (HB),Moshi,Moshi,Low,Apr - May,80,116,165,,
5,Pink Flamingo Boutique Hotel (Comfort) (HB),Moshi,Moshi,Peak,Whole Year,206,244,332,,
6,Pink Flamingo Boutique Hotel (Comfort) (HB),Moshi,Moshi,Peak,Whole Year,206,244,332,,
